Title,Sold_Date,Sold_Price,Bids,Card_Link,Image_Link
2018 baker mayfield Panini Illusions Blue /149 Sp Rookie Non Auto Psa 10 Gem ,2020-12-13,46.00,6,https://www.ebay.com/itm/2018-baker-mayfield-Panini-Illusions-Blue-149-Sp-Rookie-Non-Auto-Psa-10-Gem/154235005592?hash=item23e91f6a98%3Ag%3AWlMAAOSwi9Vf0CVh&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/WlMAAOSwi9Vf0CVh/s-l225.jpg
2018 Select Field Level Silver Prizms Lamar Jackson ROOKIE RC #205 PSA 10 GEM MT,2021-01-25,"1,147.00",44,https://www.ebay.com/itm/2018-Select-Field-Level-Silver-Prizms-Lamar-Jackson-ROOKIE-RC-205-PSA-10-GEM-MT/143919383223?hash=item21824382b7%3Ag%3ADkMAAOSwIcxgAlTv&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/DkMAAOSwIcxgAlTv/s-l225.jpg
2018 Panini Classics Optichrome Premium #209 Lamar Jackson RC ROOKIE PSA 10 GEM,2021-02-11,111.38,24,https://www.ebay.com/itm/2018-Panini-Classics-Optichrome-Premium-209-Lamar-Jackson-RC-ROOKIE-PSA-10-GEM/224339793756?hash=item343bb1975c%3Ag%3ArjwAAOSw2qBgHFss&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/rjwAAOSw2qBgHFss/s-l225.jpg
2018 Donruss Optic Josh Allen Elite Series Purple Stars RC Auto #/50 PSA 10 P20,2021-01-20,"1,380.00",67,https://www.ebay.com/itm/2018-Donruss-Optic-Josh-Allen-Elite-Series-Purple-Stars-RC-Auto-50-PSA-10-P20/124530098400?hash=item1cfe9280e0%3Ag%3ACFYAAOSwrHFgAjqk&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/CFYAAOSwrHFgAjqk/s-l225.jpg
,2021-01-20,"14,000.00",1,https://www.ebay.com/itm/Josh-Allen-2018-Prizm-Camo-Auto-PSA-10-25/164649839378?hash=item2655e52b12%3Ag%3AjM4AAOSwEK9f-STS&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/jM4AAOSwEK9f-STS/s-l225.jpg
,2021-01-19,"13,789.00",94,https://www.ebay.com/itm/2018-JOSH-ALLEN-PANINI-ENCASED-DIAMOND-SCRIPTED-BILLS-1-1-PSA-9-MINT-W-10-AUTO/265017077531?hash=item3db43faf1b%3Ag%3AeqUAAOSwPslf9QQb&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/eqUAAOSwPslf9QQb/s-l225.jpg
2018 baker mayfield Panini Illusions Rookie Red /99 Sp Psa 10 Gem non auto,2020-12-13,48.86,2,https://www.ebay.com/itm/2018-baker-mayfield-Panini-Illusions-Rookie-Red-99-Sp-Psa-10-Gem-non-auto/154235003159?hash=item23e91f6117%3Ag%3AfzQAAOSwOxtf0CSE&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/fzQAAOSwOxtf0CSE/s-l225.jpg
2018 Panini Flawless Baker Mayfield Signature #’d20 Rookie PSA 10 GEM MT AUTO 10,2020-12-11,"1,025.00",25,https://www.ebay.com/itm/2018-Panini-Flawless-Baker-Mayfield-Signature-d20-Rookie-PSA-10-GEM-MT-AUTO-10/154220776773?hash=item23e8464d45%3Ag%3AKsoAAOSwCjJfxV00&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/KsoAAOSwCjJfxV00/s-l225.jpg
2018 Panini Prizm Lamar Jackson RC PSA 10,2021-01-30,711.00,22,https://www.ebay.com/itm/2018-Panini-Prizm-Lamar-Jackson-RC-PSA-10/184630175649?hash=item2afcd0e7a1%3Ag%3Af6QAAOSwQdhgBIBW&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/f6QAAOSwQdhgBIBW/s-l225.jpg
2018 Panini Donruss Lamar Jackson Rookie Card RC PSA 10 Gem Mint #317 Ravens,2021-02-12,173.50,40,https://www.ebay.com/itm/2018-Panini-Donruss-Lamar-Jackson-Rookie-Card-RC-PSA-10-Gem-Mint-317-Ravens/224346279996?hash=item343c14903c%3Ag%3A99kAAOSwWNRgIxTX&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/99kAAOSwWNRgIxTX/s-l225.jpg
